scientific_name,common_name,kingdom,phylum,class,order,family,iucn_status
Accipiter cooperii,Cooper's Hawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Accipiter gentilis,Northern Goshawk,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Milvus milvus,Red Kite,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Least Concern
Vultur gryphus,Andean Condor,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vulnerable
Gymnogyps californianus,California Condor,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Critically Endangered
Falco peregrinus,Peregrine Falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Least Concern
Falco tinnunculus,Common Kestrel,Animalia,Chordata,Aves,Falconiformes,Falconidae,Least Concern
Bubo virginianus,Great Horned Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Least Concern
Strix varia,Barred Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Least Concern
Strix aluco,Tawny Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Least Concern
Bubo scandiacus,Snowy Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Vulnerable
Megascops asio,Eastern Screech-Owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Least Concern
Cardinalis cardinalis,Northern Cardinal,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Least Concern
Cyanocitta cristata,Blue Jay,Animalia,Chordata,Aves,Passeriformes,Corvidae,Least Concern
Corvus brachyrhynchos,American Crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Least Concern
Corvus corax,Common Raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Least Concern
Corvus corone,Carrion Crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Least Concern
Pica pica,Eurasian Magpie,Animalia,Chordata,Aves,Passeriformes,Corvidae,Least Concern
Turdus migratorius,American Robin,Animalia,Chordata,Aves,Passeriformes,Turdidae,Least Concern
Turdus merula,Eurasian Blackbird,Animalia,Chordata,Aves,Passeriformes,Turdidae,Least Concern
Erithacus rubecula,European Robin,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Least Concern
Sialia sialis,Eastern Bluebird,Animalia,Chordata,Aves,Passeriformes,Turdidae,Least Concern
Melanerpes carolinus,Red-bellied Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Least Concern
Dryocopus pileatus,Pileated Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Least Concern
Dendrocopos major,Great Spotted Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Least Concern
Meleagris gallopavo,Wild Turkey,Animalia,Chordata,Aves,Galliformes,Phasianidae,Least Concern
Phasianus colchicus,Common Pheasant,Animalia,Chordata,Aves,Galliformes,Phasianidae,Least Concern
Tetrao urogallus,Western Capercaillie,Animalia,Chordata,Aves,Galliformes,Phasianidae,Least Concern
Lagopus muta,Rock Ptarmigan,Animalia,Chordata,Aves,Galliformes,Phasianidae,Least Concern
Branta canadensis,Canada Goose,Animalia,Chordata,Aves,Anseriformes,Anatidae,Least Concern
Anser anser,Greylag Goose,Animalia,Chordata,Aves,Anseriformes,Anatidae,Least Concern
Cygnus olor,Mute Swan,Animalia,Chordata,Aves,Anseriformes,Anatidae,Least Concern
Anas platyrhynchos,Mallard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Least Concern
Aythya fuligula,Tufted Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Least Concern
Ardea herodias,Great Blue Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Least Concern
Ardea alba,Great Egret,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Least Concern
Ciconia ciconia,White Stork,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Least Concern
Grus canadensis,Sandhill Crane,Animalia,Chordata,Aves,Gruiformes,Gruidae,Least Concern
Pelecanus erythrorhynchos,American White Pelican,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Least Concern
Phoenicopterus roseus,Greater Flamingo,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Least Concern
Struthio camelus,Common Ostrich,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Least Concern
Aptenodytes forsteri,Emperor Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Near Threatened
Spheniscus demersus,African Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Endangered
Alcedo atthis,Common Kingfisher,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Least Concern
Parus major,Great Tit,Animalia,Chordata,Aves,Passeriformes,Paridae,Least Concern
Cyanistes caeruleus,Eurasian Blue Tit,Animalia,Chordata,Aves,Passeriformes,Paridae,Least Concern
Hirundo rustica,Barn Swallow,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Least Concern
Fringilla coelebs,Common Chaffinch,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Least Concern
Carduelis carduelis,European Goldfinch,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Least Concern
Pyrrhula pyrrhula,Eurasian Bullfinch,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Least Concern
Cuculus canorus,Common Cuckoo,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Least Concern
Passer domesticus,House Sparrow,Animalia,Chordata,Aves,Passeriformes,Passeridae,Least Concern
Sturnus vulgaris,European Starling,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Least Concern
Agelaius phoeniceus,Red-winged Blackbird,Animalia,Chordata,Aves,Passeriformes,Icteridae,Least Concern
Zenaida macroura,Mourning Dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Least Concern
Columba livia,Rock Pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Least Concern
Larus delawarensis,Ring-billed Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Least Concern
Charadrius vociferus,Killdeer,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Least Concern
Setophaga petechia,Yellow Warbler,Animalia,Chordata,Aves,Passeriformes,Parulidae,Least Concern
Chelydra serpentina,Snapping Turtle,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Least Concern
Trachemys scripta,Red-eared Slider,Animalia,Chordata,Reptilia,Testudines,Emydidae,Least Concern
Chrysemys picta,Painted Turtle,Animalia,Chordata,Reptilia,Testudines,Emydidae,Least Concern
Terrapene carolina,Eastern Box Turtle,Animalia,Chordata,Reptilia,Testudines,Emydidae,Vulnerable
Caretta caretta,Loggerhead Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Vulnerable
Chelonia mydas,Green Sea Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Endangered
Alligator mississippiensis,American Alligator,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Least Concern
Crocodylus niloticus,Nile Crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Least Concern
Thamnophis sirtalis,Common Garter Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Least Concern
Nerodia sipedon,Common Watersnake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Least Concern
Crotalus horridus,Timber Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Least Concern
Crotalus atrox,Western Diamondback Rattlesnake,Animalia,Chordata,Reptilia,Squamata,Viperidae,Least Concern
Natrix natrix,Grass Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Least Concern
Vipera berus,European Adder,Animalia,Chordata,Reptilia,Squamata,Viperidae,Least Concern
Anolis carolinensis,Green Anole,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Least Concern
Sceloporus undulatus,Eastern Fence Lizard,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Least Concern
Lacerta agilis,Sand Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Least Concern
Iguana iguana,Green Iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Least Concern
Varanus komodoensis,Komodo Dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Endangered
Lithobates catesbeianus,American Bullfrog,Animalia,Chordata,Amphibia,Anura,Ranidae,Least Concern
Lithobates pipiens,Northern Leopard Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Least Concern
Rana temporaria,Common Frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Least Concern
Bufo bufo,Common Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Least Concern
Anaxyrus americanus,American Toad,Animalia,Chordata,Amphibia,Anura,Bufonidae,Least Concern
Hyla arborea,European Tree Frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Least Concern
Pseudacris regilla,Pacific Tree Frog,Animalia,Chordata,Amphibia,Anura,Hylidae,Least Concern
Ambystoma maculatum,Spotted Salamander,Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Least Concern
Notophthalmus viridescens,Eastern Newt,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Least Concern
Triturus cristatus,Great Crested Newt,Animalia,Chordata,Amphibia,Urodela,Salamandridae,Least Concern
Oncorhynchus mykiss,Rainbow Trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Least Concern
Salmo trutta,Brown Trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Least Concern
Oncorhynchus tshawytscha,Chinook Salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Least Concern
Perca fluviatilis,European Perch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Least Concern
Esox lucius,Northern Pike,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Least Concern
Cyprinus carpio,Common Carp,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Vulnerable
Danaus plexippus,Monarch Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Endangered
Vanessa atalanta,Red Admiral,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Vanessa cardui,Painted Lady,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Papilio machaon,Old World Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Least Concern
Papilio glaucus,Eastern Tiger Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Least Concern
Papilio polyxenes,Black Swallowtail,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Least Concern
Aglais io,Peacock Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Aglais urticae,Small Tortoiseshell,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Polygonia c-album,Comma Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Maniola jurtina,Meadow Brown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Least Concern
Pieris rapae,Small White,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Least Concern
Pieris brassicae,Large White,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Least Concern
Gonepteryx rhamni,Brimstone Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Least Concern
Colias croceus,Clouded Yellow,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Least Concern
Parnassius apollo,Apollo Butterfly,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Vulnerable
Lycaena phlaeas,Small Copper,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Least Concern
Apis mellifera,Western Honey Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Data Deficient
Bombus terrestris,Buff-tailed Bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Least Concern
Bombus lapidarius,Red-tailed Bumblebee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Least Concern
Xylocopa violacea,Violet Carpenter Bee,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Least Concern
Vespula germanica,German Wasp,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Least Concern
Lucanus cervus,Stag Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Near Threatened
Coccinella septempunctata,Seven-spot Ladybird,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Least Concern
Harmonia axyridis,Harlequin Ladybird,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Least Concern
Libellula depressa,Broad-bodied Chaser,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Least Concern
Calopteryx splendens,Banded Demoiselle,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Least Concern
Sympetrum striolatum,Common Darter,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Least Concern
Aeshna cyanea,Southern Hawker,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Least Concern
Gryllus campestris,Field Cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Least Concern
Locusta migratoria,Migratory Locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Least Concern
Araneus diadematus,Garden Spider,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Least Concern
Latrodectus mactans,Southern Black Widow,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Least Concern
Loxosceles reclusa,Brown Recluse,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Least Concern
Argiope aurantia,Black and Yellow Garden Spider,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Least Concern
Tegenaria domestica,House Spider,Animalia,Arthropoda,Arachnida,Araneae,Agelenidae,Least Concern
Limulus polyphemus,Atlantic Horseshoe Crab,Animalia,Arthropoda,Merostomata,Xiphosura,Limulidae,Vulnerable
Homarus americanus,American Lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Least Concern
Cancer pagurus,Edible Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Least Concern
Carcinus maenas,European Shore Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Least Concern
Helix pomatia,Roman Snail,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Least Concern
Octopus vulgaris,Common Octopus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Least Concern
Sepia officinalis,Common Cuttlefish,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Least Concern
Loligo vulgaris,European Squid,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Least Concern
